Type,Affiliaion,State,Enrollment
Primary,Total Schools,NSW,2089
Primary,Total Schools,VIC,1571
Primary,Total Schools,QLD,1145
Primary,Total Schools,SA,434
Primary,Total Schools,WA,686
Primary,Total Schools,TAS,153
