Type,Affiliation,State,Enrollment,Latitude,Longitude
Primary,Total Schools,New South Wales,2089,-32.0000,147.0000
Primary,Total Schools,Victoria,1571,-36.8000,144.0000
Primary,Total Schools,Queensland,1145,-22.0000,143.0000
Primary,Total Schools,South Australia,434,-30.0000,135.0000
Primary,Total Schools,Western Australia,686,-25.0000,122.0000
Primary,Total Schools,Tasmania,153,-42.0000,146.0000
Primary,Total Schools,Northern Territory,74,-20.0000,133.0000
Primary,Total Schools,Australian Capital Territory,85,-35.3000,149.1000
