region,offence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Queensland,Youth offenders,16709,17204,15494,14485,13220,12811,12764,12727,12598,12304,11699,11007,10314,10304
South Australia,Abduction/harassment,21,31,18,17,10,31,26,27,21,19,20,12,11,11
South Australia,Acts intended to cause injury,943,960,915,751,765,644,622,651,583,660,631,557,592,563
South Australia,Dangerous/negligent acts,24,13,14,13,26,26,17,14,19,28,20,3,4,6
South Australia,Fraud/deception,18,30,40,16,17,14,24,12,12,15,3,13,9,6
South Australia,Homicide and related offences,7,12,12,5,9,0,0,0,3,9,0,0,0,0
South Australia,Illicit drug offences,675,754,893,835,892,874,897,820,810,701,669,510,353,305
South Australia,Miscellaneous offences,17,22,9,11,49,46,41,26,40,41,26,57,32,82
South Australia,Offences against justice,224,116,120,60,53,49,40,47,25,47,48,21,39,34
South Australia,Property damage and environmental pollution,617,530,453,501,460,286,292,268,233,262,177,157,143,119
South Australia,Public order offences,1076,723,820,548,667,624,544,462,474,452,407,275,112,117
South Australia,Robbery/extortion,89,101,120,91,76,97,61,70,52,49,59,79,58,63
South Australia,Sexual assault and related offences,96,84,96,123,121,176,228,174,168,185,125,87,90,41
South Australia,Theft,1093,1166,1032,923,949,1161,518,573,544,526,375,296,249,239
South Australia,Unlawful entry with intent,561,613,532,274,268,187,173,150,231,171,218,278,248,212
South Australia,Weapons/explosives,245,214,186,189,136,130,120,106,112,139,110,118,111,124
South Australia,All offenders,37800,39233,40224,38988,44970,49630,47451,49705,49316,46407,44586,36860,31272,25217
South Australia,Youth offenders,5701,5358,5258,4421,4499,4352,4249,4402,4440,3792,3368,2782,2083,1971
Tasmania,Abduction/harassment,8,0,3,3,3,4,0,3,5,0,0,0,6,3
Tasmania,Acts intended to cause injury,424,405,398,331,229,231,187,192,214,217,212,185,206,260
Tasmania,Dangerous/negligent acts,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,Fraud/deception,32,29,27,25,21,11,14,13,9,12,8,10,17,15
Tasmania,Homicide and related offences,3,3,4,0,0,0,0,0,0,0,0,5,0,0
